CHEMICAL_ID,UNIPROTKB,TARGET_NAME,group,orthogonal,is_agonist,canonical_smiles,ENTREZ_GENE,ENTRY_NAME,REACTOME,GO_CC,GO_BP,GO_MF,KEGG,DATA_SOURCE
I-BET151,Q15059,Bromodomain-containing protein 3,0.0,NA,NA,NA,8019,BRD3,,nucleus GO:0005634 IEA,"GO:0006351 transcription, DNA-templated IEA GO:0006357 regulation of transcription from RNA polymerase II promoter 18406326 IDA GO:0016568 chromatin modification IEA",18406326 IDA GO:0003682 chromatin binding 20195357 IPI GO:0005515 protein binding 22464331 IDA GO:0070577 lysine-acetylated histone binding,,chemicalprobes.org
JQ1,O60885,Bromodomain-containing protein 4,0.0,NA,NA,NA,23476,BRD4,,condensed nuclear chromosome IDA 10938129 GO:0000794 nucleus IDA 20871596 GO:0005634 nucleoplasm IDA GO:0005654 cytoplasm IDA GO:0005737,"regulation of transcription involved in G1/S transition of mitotic cell cycle 18039861 GO:0000083 IMP transcription, DNA-templated GO:0006351 IEA cellular response to DNA damage stimulus GO:0006974 IEA positive regulation of G2/M transition of mitotic cell cycle 10938129 GO:0010971 IMP viral process GO:0016032 IEA chromatin modification GO:0016568 IEA positive regulation of transcription elongation from RNA polymerase II promoter 19103749 23086925 GO:0032968 IDA positive regulation of transcription elongation from RNA polymerase II promoter 18039861 GO:0032968 IMP positive regulation of I-kappaB kinase/NF-kappaB signaling 19103749 GO:0043123 IDA positive regulation of transcription from RNA polymerase II promoter 23086925 23317504 GO:0045944 IDA regulation of inflammatory response 19103749 GO:0050727 IDA regulation of phosphorylation of RNA polymerase II C-terminal domain 23086925 GO:1901407 IDA",p53 binding GO:0002039 23317504 IDA chromatin binding GO:0003682 20871596 23086925 23317504 IDA protein binding GO:0005515 17023018 17189189 17474147 18305892 19103749 22645123 23455924 23686307 24360279 24525235 IPI lysine-acetylated histone binding GO:0070577 20871596 23086925 23317504 IDA,,chemicalprobes.org
PFI-1,O60885,Bromodomain-containing protein 4,0.0,NA,NA,NA,23476,BRD4,,condensed nuclear chromosome IDA 10938129 GO:0000794 nucleus IDA 20871596 GO:0005634 nucleoplasm IDA GO:0005654 cytoplasm IDA GO:0005737,"regulation of transcription involved in G1/S transition of mitotic cell cycle 18039861 GO:0000083 IMP transcription, DNA-templated GO:0006351 IEA cellular response to DNA damage stimulus GO:0006974 IEA positive regulation of G2/M transition of mitotic cell cycle 10938129 GO:0010971 IMP viral process GO:0016032 IEA chromatin modification GO:0016568 IEA positive regulation of transcription elongation from RNA polymerase II promoter 19103749 23086925 GO:0032968 IDA positive regulation of transcription elongation from RNA polymerase II promoter 18039861 GO:0032968 IMP positive regulation of I-kappaB kinase/NF-kappaB signaling 19103749 GO:0043123 IDA positive regulation of transcription from RNA polymerase II promoter 23086925 23317504 GO:0045944 IDA regulation of inflammatory response 19103749 GO:0050727 IDA regulation of phosphorylation of RNA polymerase II C-terminal domain 23086925 GO:1901407 IDA",p53 binding GO:0002039 23317504 IDA chromatin binding GO:0003682 20871596 23086925 23317504 IDA protein binding GO:0005515 17023018 17189189 17474147 18305892 19103749 22645123 23455924 23686307 24360279 24525235 IPI lysine-acetylated histone binding GO:0070577 20871596 23086925 23317504 IDA,,chemicalprobes.org
I-BET151,O60885,Bromodomain-containing protein 4,0.0,NA,NA,NA,23476,BRD4,,condensed nuclear chromosome IDA 10938129 GO:0000794 nucleus IDA 20871596 GO:0005634 nucleoplasm IDA GO:0005654 cytoplasm IDA GO:0005737,"regulation of transcription involved in G1/S transition of mitotic cell cycle 18039861 GO:0000083 IMP transcription, DNA-templated GO:0006351 IEA cellular response to DNA damage stimulus GO:0006974 IEA positive regulation of G2/M transition of mitotic cell cycle 10938129 GO:0010971 IMP viral process GO:0016032 IEA chromatin modification GO:0016568 IEA positive regulation of transcription elongation from RNA polymerase II promoter 19103749 23086925 GO:0032968 IDA positive regulation of transcription elongation from RNA polymerase II promoter 18039861 GO:0032968 IMP positive regulation of I-kappaB kinase/NF-kappaB signaling 19103749 GO:0043123 IDA positive regulation of transcription from RNA polymerase II promoter 23086925 23317504 GO:0045944 IDA regulation of inflammatory response 19103749 GO:0050727 IDA regulation of phosphorylation of RNA polymerase II C-terminal domain 23086925 GO:1901407 IDA",p53 binding GO:0002039 23317504 IDA chromatin binding GO:0003682 20871596 23086925 23317504 IDA protein binding GO:0005515 17023018 17189189 17474147 18305892 19103749 22645123 23455924 23686307 24360279 24525235 IPI lysine-acetylated histone binding GO:0070577 20871596 23086925 23317504 IDA,,chemicalprobes.org
BI-9564,Q9NPI1,Bromodomain-containing protein 7,0.0,NA,NA,NA,29117,BRD7,,11025449 12489984 16265664 20228809 21630459 IDA GO:0005634 nucleus TAS GO:0005654 nucleoplasm IDA GO:0005737 cytoplasm IEA GO:0090544 BAF-type complex,"transcription, DNA-templated GO:0006351 IEA regulation of transcription from RNA polymerase II promoter GO:0006357 12489984 IDA cell cycle GO:0007049 IEA negative regulation of cell proliferation GO:0008285 20228809 IDA Wnt signaling pathway GO:0016055 IEA positive regulation of histone acetylation GO:0035066 20228809 IDA negative regulation of transcription, DNA-templated GO:0045892 16265664 IDA positive regulation of transcription, DNA-templated GO:0045893 20228809 IDA regulation of signal transduction by p53 class mediator GO:1901796 TAS negative regulation of G1/S transition of mitotic cell cycle GO:2000134 16265664 IDA",IPI 20228809 p53 binding GO:0002039 IDA 20228809 transcription coactivator activity GO:0003713 IDA 16265664 transcription corepressor activity GO:0003714 ISS GO:0003714 transcription corepressor activity IPI 12489984 18329849 20228809 protein binding GO:0005515 IDA 11025449 transcription factor binding GO:0008134 IDA 12489984 histone binding GO:0042393 IDA 20228809 transcription regulatory region DNA binding GO:0044212 IDA 16265664 lysine-acetylated histone binding GO:0070577,,chemicalprobes.org
LP99,Q9NPI1,Bromodomain-containing protein 7,0.0,NA,NA,NA,29117,BRD7,,11025449 12489984 16265664 20228809 21630459 IDA GO:0005634 nucleus TAS GO:0005654 nucleoplasm IDA GO:0005737 cytoplasm IEA GO:0090544 BAF-type complex,"transcription, DNA-templated GO:0006351 IEA regulation of transcription from RNA polymerase II promoter GO:0006357 12489984 IDA cell cycle GO:0007049 IEA negative regulation of cell proliferation GO:0008285 20228809 IDA Wnt signaling pathway GO:0016055 IEA positive regulation of histone acetylation GO:0035066 20228809 IDA negative regulation of transcription, DNA-templated GO:0045892 16265664 IDA positive regulation of transcription, DNA-templated GO:0045893 20228809 IDA regulation of signal transduction by p53 class mediator GO:1901796 TAS negative regulation of G1/S transition of mitotic cell cycle GO:2000134 16265664 IDA",IPI 20228809 p53 binding GO:0002039 IDA 20228809 transcription coactivator activity GO:0003713 IDA 16265664 transcription corepressor activity GO:0003714 ISS GO:0003714 transcription corepressor activity IPI 12489984 18329849 20228809 protein binding GO:0005515 IDA 11025449 transcription factor binding GO:0008134 IDA 12489984 histone binding GO:0042393 IDA 20228809 transcription regulatory region DNA binding GO:0044212 IDA 16265664 lysine-acetylated histone binding GO:0070577,,chemicalprobes.org
I-BRD9,Q9H8M2,Bromodomain-containing protein 9,0.0,NA,NA,NA,65980,BRD9,,cellular_component GO:0005575 ND,"GO:0006351 transcription, DNA-templated IEA GO:0006355 regulation of transcription, DNA-templated IEA GO:0008150 biological_process ND GO:0016568 chromatin modification IEA",nucleic acid binding 18559093 GO:0003676 NAS protein binding 25416956 GO:0005515 IPI lysine-acetylated histone binding 22464331 GO:0070577 IDA,,chemicalprobes.org
BI-9564,Q9H8M2,Bromodomain-containing protein 9,0.0,NA,NA,NA,65980,BRD9,,cellular_component GO:0005575 ND,"GO:0006351 transcription, DNA-templated IEA GO:0006355 regulation of transcription, DNA-templated IEA GO:0008150 biological_process ND GO:0016568 chromatin modification IEA",nucleic acid binding 18559093 GO:0003676 NAS protein binding 25416956 GO:0005515 IPI lysine-acetylated histone binding 22464331 GO:0070577 IDA,,chemicalprobes.org
LP99,Q9H8M2,Bromodomain-containing protein 9,0.0,NA,NA,NA,65980,BRD9,,cellular_component GO:0005575 ND,"GO:0006351 transcription, DNA-templated IEA GO:0006355 regulation of transcription, DNA-templated IEA GO:0008150 biological_process ND GO:0016568 chromatin modification IEA",nucleic acid binding 18559093 GO:0003676 NAS protein binding 25416956 GO:0005515 IPI lysine-acetylated histone binding 22464331 GO:0070577 IDA,,chemicalprobes.org
JQ1,Q58F21,Bromodomain testis-specific protein,0.0,NA,NA,NA,676,BRDT,,ISS GO:0005634 nucleus,"GO:0001207 histone displacement ISS GO:0006338 chromatin remodeling ISS GO:0006351 transcription, DNA-templated IEA GO:0006397 mRNA processing IEA GO:0007140 male meiosis ISS GO:0007141 male meiosis I ISS GO:0007283 spermatogenesis ISS GO:0008380 RNA splicing IEA GO:0030154 cell differentiation IEA GO:0043484 regulation of RNA splicing ISS GO:0051039 positive regulation of transcription involved in meiotic cell cycle ISS",transcription coactivator activity 10365964 GO:0003713 TAS histone binding 22464331 GO:0042393 IDA lysine-acetylated histone binding GO:0070577 ISS,,chemicalprobes.org
PFI-1,Q58F21,Bromodomain testis-specific protein,0.0,NA,NA,NA,676,BRDT,,ISS GO:0005634 nucleus,"GO:0001207 histone displacement ISS GO:0006338 chromatin remodeling ISS GO:0006351 transcription, DNA-templated IEA GO:0006397 mRNA processing IEA GO:0007140 male meiosis ISS GO:0007141 male meiosis I ISS GO:0007283 spermatogenesis ISS GO:0008380 RNA splicing IEA GO:0030154 cell differentiation IEA GO:0043484 regulation of RNA splicing ISS GO:0051039 positive regulation of transcription involved in meiotic cell cycle ISS",transcription coactivator activity 10365964 GO:0003713 TAS histone binding 22464331 GO:0042393 IDA lysine-acetylated histone binding GO:0070577 ISS,,chemicalprobes.org
STO609,Q8N5S9,CaM-kinase kinase alpha,0.0,NA,NA,NA,84254,KKCC1,Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell R-HSA-112314 Transmission across Chemical Synapses R-HSA-112315 Neuronal System R-HSA-112316 Post NMDA receptor activation events R-HSA-438064 CREB phosphorylation through the activation of CaMKK R-HSA-442717 Activation of NMDA receptor upon glutamate binding and postsynaptic events R-HSA-442755,nucleus IEA GO:0005634 cytosol TAS GO:0005829,protein phosphorylation GO:0006468 IEA activation of protein kinase activity GO:0032147 IEA,calmodulin-dependent protein kinase activity TAS GO:0004683 protein binding IPI 18242179 GO:0005515 calmodulin binding IEA GO:0005516 ATP binding IEA GO:0005524,hsa04152 AMPK signaling pathway - Homo sapiens (human) hsa04920 Adipocytokine signaling pathway - Homo sapiens (human) hsa04921 Oxytocin signaling pathway - Homo sapiens (human) hsa05034 Alcoholism - Homo sapiens (human),chemicalprobes.org
STO609,Q96RR4,CaM-kinase kinase beta,0.0,NA,NA,NA,10645,KKCC2,,GO:0005622 intracellular 11395482 TAS GO:0005634 nucleus IEA GO:0005737 cytoplasm IDA GO:0042995 cell projection IEA,"11395482 TAS GO:0000165 MAPK cascade 11395482 IDA GO:0006468 protein phosphorylation IEA GO:0018108 peptidyl-tyrosine phosphorylation 11395482 TAS GO:0019722 calcium-mediated signaling 11395482 TAS GO:0045859 regulation of protein kinase activity 11395482 TAS GO:0045893 positive regulation of transcription, DNA-templated 11395482 IDA GO:0046777 protein autophosphorylation",calmodulin-dependent protein kinase activity GO:0004683 IEA protein tyrosine kinase activity GO:0004713 TAS 11395482 calcium ion binding GO:0005509 IDA 11395482 calmodulin binding GO:0005516 TAS 11395482 ATP binding GO:0005524 IEA,AMPK signaling pathway - Homo sapiens (human) hsa04152 Adipocytokine signaling pathway - Homo sapiens (human) hsa04920 Oxytocin signaling pathway - Homo sapiens (human) hsa04921 Alcoholism - Homo sapiens (human) hsa05034,chemicalprobes.org
PF-4800567,P49674,Casein kinase I epsilon,0.0,NA,NA,NA,1454,KC1E,"Signal Transduction R-HSA-162582 Cell Cycle R-HSA-1640170 Organelle biogenesis and maintenance R-HSA-1852241 Signaling by Wnt R-HSA-195721 TCF dependent signaling in response to WNT R-HSA-201681 WNT mediated activation of DVL R-HSA-201688 Regulation of PLK1 Activity at G2/M Transition R-HSA-2565942 Loss of Nlp from mitotic centrosomes R-HSA-380259 Recruitment of mitotic centrosome proteins and complexes R-HSA-380270 Loss of proteins required for interphase microtubule organizationfrom the centrosome R-HSA-380284 Centrosome maturation R-HSA-380287 Circadian Clock R-HSA-400253 Mitotic G2-G2/M phases R-HSA-453274 Assembly of the primary cilium R-HSA-5617833 Anchoring of the basal body to the plasma membrane R-HSA-5620912 G2/M Transition R-HSA-69275 Cell Cycle, Mitotic R-HSA-69278",GO:0005634 nucleus IBA GO:0005634 nucleus ISS GO:0005654 nucleoplasm TAS 17244647 GO:0005737 cytoplasm IDA GO:0005829 cytosol TAS GO:0030529 intracellular ribonucleoprotein complex IEA,G2/M transition of mitotic cell cycle GO:0000086 TAS DNA repair 7797465 GO:0006281 TAS rRNA processing GO:0006364 TAS protein phosphorylation 15917222 17244647 GO:0006468 IDA protein phosphorylation GO:0006468 ISS endocytosis GO:0006897 IBA signal transduction 7797465 GO:0007165 TAS regulation of cell shape GO:0008360 IBA Wnt signaling pathway GO:0016055 IBA peptidyl-serine phosphorylation 25500533 GO:0018105 IDA negative regulation of Wnt signaling pathway GO:0030178 IEA negative regulation of protein binding 23109420 GO:0032091 IDA positive regulation of proteasomal ubiquitin-dependent protein catabolic process GO:0032436 ISS circadian regulation of gene expression GO:0032922 ISS cellular protein localization GO:0034613 IEA regulation of circadian rhythm GO:0042752 ISS dopaminergic neuron differentiation 17244647 GO:0071542 NAS positive regulation of canonical Wnt signaling pathway GO:0090263 IEA regulation of cellular protein localization 17244647 GO:1903827 IDA positive regulation of non-canonical Wnt signaling pathway 17244647 GO:2000052 IC,IDA 17244647 protein kinase activity GO:0004672 ISS GO:0004672 protein kinase activity IDA 15917222 25500533 protein serine/threonine kinase activity GO:0004674 TAS 7797465 protein serine/threonine kinase activity GO:0004674 IPI 11425858 15917222 16616143 16618118 17218255 17244647 20708156 21900206 21988832 22609948 22682247 22939624 23109420 23455922 25241761 25416956 26496610 protein binding GO:0005515 IEA GO:0005524 ATP binding IDA 22681889 poly(A) RNA binding GO:0044822,hsa04068 FoxO signaling pathway - Homo sapiens (human) hsa04310 Wnt signaling pathway - Homo sapiens (human) hsa04340 Hedgehog signaling pathway - Homo sapiens (human) hsa04390 Hippo signaling pathway - Homo sapiens (human) hsa04710 Circadian rhythm - Homo sapiens (human),chemicalprobes.org
CX-4945,P68400,Casein kinase II alpha,0.0,NA,NA,NA,1457,CSK21,"R-HSA-1266738 Developmental Biology R-HSA-162582 Signal Transduction R-HSA-1640170 Cell Cycle R-HSA-195721 Signaling by Wnt R-HSA-201681 TCF dependent signaling in response to WNT R-HSA-201688 WNT mediated activation of DVL R-HSA-2514853 Condensation of Prometaphase Chromosomes R-HSA-373760 L1CAM interactions R-HSA-422475 Axon guidance R-HSA-445144 Signal transduction by L1 R-HSA-68877 Mitotic Prometaphase R-HSA-68886 M Phase R-HSA-69278 Cell Cycle, Mitotic",GO:0005634 nucleus 21282530 21630459 IDA GO:0005654 nucleoplasm TAS GO:0005829 cytosol TAS GO:0005886 plasma membrane 10799509 TAS GO:0016580 Sin3 complex 17827154 IDA GO:0016581 NuRD complex 17827154 IDA GO:0031519 PcG protein complex colocalizes_with 21282530 IDA,"GO:0006351 transcription, DNA-templated IEA GO:0006355 regulation of transcription, DNA-templated IEA GO:0006457 protein folding TAS GO:0006468 protein phosphorylation 20625391 22406621 IDA GO:0007165 signal transduction 2174700 TAS GO:0008284 positive regulation of cell proliferation 20625391 IDA GO:0016055 Wnt signaling pathway IEA GO:0030177 positive regulation of Wnt signaling pathway 12700239 IMP GO:0030307 positive regulation of cell growth 20625391 IDA GO:0043154 negative regulation of cysteine-type endopeptidase activity involved in apoptotic process 16193064 IMP GO:0045732 positive regulation of protein catabolic process 20625391 IDA GO:0046777 protein autophosphorylation IEA GO:0048511 rhythmic process IEA GO:0050790 regulation of catalytic activity IEA GO:0061077 chaperone-mediated protein folding 19387550 TAS GO:0071174 mitotic spindle checkpoint 11704824 IMP GO:1901796 regulation of signal transduction by p53 class mediator TAS",GO:0004674 protein serine/threonine kinase activity 12700239 16193064 20625391 20864032 IDA GO:0004674 protein serine/threonine kinase activity 11035045 IMP GO:0004674 protein serine/threonine kinase activity 2174700 TAS GO:0005515 protein binding 10094392 11574463 12191471 12769847 14667819 16873060 19011756 19236849 19680552 20625391 21282530 21516116 21968188 21988832 22113938 22317921 22406621 22975381 23455922 23555304 23752268 24535599 25241761 25416956 25852190 26711270 IPI GO:0005524 ATP binding IEA GO:0008013 beta-catenin binding IEA GO:0019888 protein phosphatase regulator activity IEA GO:0047485 protein N-terminus binding 11972058 IPI GO:0051879 Hsp90 protein binding 19387550 TAS,Ribosome biogenesis in eukaryotes - Homo sapiens (human) hsa03008 NF-kappa B signaling pathway - Homo sapiens (human) hsa04064 Wnt signaling pathway - Homo sapiens (human) hsa04310 Adherens junction - Homo sapiens (human) hsa04520 Tight junction - Homo sapiens (human) hsa04530 Measles - Homo sapiens (human) hsa05162 Herpes simplex infection - Homo sapiens (human) hsa05168 Epstein-Barr virus infection - Homo sapiens (human) hsa05169,chemicalprobes.org
